hotel_name,hotel_area,poi_name,poi_weight,hotel_nearest_station,poi_nearest_station,hotel_walk_min,poi_walk_min,rough_subway_min,estimated_total_trip_min,access_score
The William Vale,Williamsburg,Washington Square Park,0.35,Nassau Av,W 4 St-Wash Sq,6.5,3.94,8.47,18.92,58.25
The William Vale,Williamsburg,SoHo,0.3,Nassau Av,Canal St,6.5,3.52,9.28,19.3,57.61
The William Vale,Williamsburg,Williamsburg,0.25,Nassau Av,Marcy Av,6.5,0.8,3.78,11.08,72.86
Hampton Inn Brooklyn Downtown,Downtown Brooklyn,Statue of Liberty,1.0,Jay St-MetroTech,South Ferry,5.5,37.22,5.17,47.88,25.46
Hampton Inn Brooklyn Downtown,Downtown Brooklyn,Times Square,0.95,Jay St-MetroTech,Times Sq-42 St,5.5,0.57,14.19,20.25,56.06
Hampton Inn Brooklyn Downtown,Downtown Brooklyn,Empire State Building,0.9,Jay St-MetroTech,34 St-Herald Sq,5.5,2.82,12.8,21.11,54.7
Hampton Inn Brooklyn Downtown,Downtown Brooklyn,Central Park,0.85,Jay St-MetroTech,81 St-Museum of Natural History,5.5,5.95,19.98,31.43,40.74
Hampton Inn Brooklyn Downtown,Downtown Brooklyn,Grand Central Terminal,0.8,Jay St-MetroTech,Grand Central-42 St,5.5,1.31,13.34,20.15,56.23
Hampton Inn Brooklyn Downtown,Downtown Brooklyn,The Metropolitan Museum of Art,0.75,Jay St-MetroTech,86 St,5.5,8.22,20.08,33.8,38.07
Hampton Inn Brooklyn Downtown,Downtown Brooklyn,World Trade Center,0.7,Jay St-MetroTech,WTC Cortlandt,5.5,1.78,6.22,13.5,68.0
Hampton Inn Brooklyn Downtown,Downtown Brooklyn,Brooklyn Bridge,0.65,Jay St-MetroTech,Fulton St,5.5,11.23,5.18,21.9,53.49
Hampton Inn Brooklyn Downtown,Downtown Brooklyn,Rockefeller Center,0.6,Jay St-MetroTech,47-50 Sts-Rockefeller Ctr,5.5,2.8,14.81,23.1,51.69
Hampton Inn Brooklyn Downtown,Downtown Brooklyn,Bryant Park,0.55,Jay St-MetroTech,5 Av,5.5,1.37,13.72,20.59,55.52
Hampton Inn Brooklyn Downtown,Downtown Brooklyn,Penn Station,0.5,Jay St-MetroTech,34 St-Penn Station,5.5,2.39,13.43,21.32,54.39
Hampton Inn Brooklyn Downtown,Downtown Brooklyn,MoMA,0.45,Jay St-MetroTech,5 Av/53 St,5.5,3.08,15.23,23.8,50.66
Hampton Inn Brooklyn Downtown,Downtown Brooklyn,Chelsea Market,0.4,Jay St-MetroTech,14 St,5.5,5.16,11.15,21.81,53.63
Hampton Inn Brooklyn Downtown,Downtown Brooklyn,Washington Square Park,0.35,Jay St-MetroTech,W 4 St-Wash Sq,5.5,3.94,9.26,18.7,58.61
Hampton Inn Brooklyn Downtown,Downtown Brooklyn,SoHo,0.3,Jay St-MetroTech,Canal St,5.5,3.52,7.63,16.65,62.14
Hampton Inn Brooklyn Downtown,Downtown Brooklyn,Williamsburg,0.25,Jay St-MetroTech,Marcy Av,5.5,0.8,5.96,12.26,70.46
